name,description,Alma,Trois-Rivières,Cornwall,Charlottetown,Cranbrook,Sorel-Tracy,Fredericton,Val-d'Or,Pembroke,Edmundston,St. Catharines,Barrie,Thunder Bay,Moncton,Campbell River,Red Deer,Sault Ste. Marie,Corner Brook,Guelph,Victoria,Joliette,Québec,Penticton,Timmins,Midland,Malahat,London,Toronto,Sydney,Kelowna,Vancouver,Sherbrooke,Regina,Brockville,Courtenay,Saint-Jean-sur-Richelieu,Campbellton,Fort McMurray,Owen Sound,Prince Rupert,Greater Sudbury,Baie-Comeau,Stratford,Halifax,Gander,Peterborough,Saint-Hyacinthe,Cold Lake,Fort St. John,Summerside,Williams Lake,Bathurst,Port Alberni,North Bay,Lethbridge,Swift Current,Woodstock,Sept-Îles,Kenora,Grande Prairie,Thompson,Rouyn-Noranda,Kamloops,Nanaimo,Calgary,Prince Albert,Edmonton,Moose Jaw,Rivière-du-Loup,Truro,Whitehorse,Yellowknife,Windsor,Drummondville,Kingston,Winnipeg,Oshawa,Hamilton,Rimouski,Estevan,Chilliwack,Brantford,Saguenay,Abbotsford,Kentville,Portage la Prairie,Saskatoon,Belleville,Brandon,Yorkton,St. John's,Sarnia,Vernon,Medicine Hat,Saint John,Ottawa (Kanata - Orléans),Montréal,Shawinigan,Prince George,Kitchener-Waterloo
Most huge snowfall days (25 cm or more),the greatest number of days annually with a snowfall at or above 25 cm.,1.40,0.54,0.50,0.74,0.10,0.84,1.14,0.32,0.26,0.79,0.13,0.41,0.14,2.13,0.74,0.03,0.39,0.88,0.28,0.09,0.68,0.57,0.00,0.32,1.42,0.17,0.12,0.00,0.94,0.03,0.16,0.80,0.03,0.44,0.43,0.48,2.09,0.06,1.28,0.24,0.36,1.13,0.27,0.40,1.77,0.07,0.52,0.09,0.03,0.96,0.13,1.55,0.77,0.03,0.10,0.06,0.10,1.84,0.07,0.00,0.19,0.00,0.03,0.47,0.07,0.03,0.16,0.04,1.03,0.58,0.04,0.00,0.09,0.46,0.65,0.03,0.20,0.26,0.65,0.06,0.71,0.06,0.43,0.38,1.16,0.05,0.07,0.22,0.00,0.00,0.93,0.09,0.19,0.13,0.73,0.55,0.36,0.71,0.07,0.00
Longest snow cover season (days),the greatest number of days annually with snow covering the ground to a depth of at least 1 cm.,148.78,133.63,107.26,121.90,95.49,121.05,116.50,165.29,130.45,134.10,55.95,118.54,136.17,119.22,19.64,132.56,132.72,136.99,100.04,8.21,118.62,148.86,35.21,168.90,119.00,4.77,87.48,74.27,93.85,70.00,10.42,135.36,126.11,97.53,13.20,97.28,160.23,160.99,93.75,27.63,140.97,156.61,100.78,64.28,148.13,104.74,107.47,143.55,148.77,120.24,129.15,151.05,15.20,146.30,80.36,105.74,105.57,170.07,154.82,144.29,180.30,165.29,50.93,19.07,88.39,146.05,130.64,108.80,147.11,89.11,173.97,190.62,53.90,122.46,87.79,132.16,66.87,81.61,138.72,114.06,20.83,91.87,159.80,14.66,96.79,134.50,130.37,89.71,131.56,137.93,109.74,69.87,90.17,83.92,97.51,121.97,110.54,132.43,119.31,96.57
Most deep snow cover days (10 cm or more),the greatest number of days annually with snow covering the ground to a depth of at least 10 cm.,114.36,118.02,77.52,75.27,58.75,96.34,81.10,140.09,99.26,87.70,13.34,88.10,101.43,78.03,8.67,79.20,98.60,116.56,52.90,2.19,103.89,134.07,11.17,140.20,103.00,3.10,38.87,23.99,49.31,38.60,3.96,105.15,77.12,62.52,6.17,58.28,135.05,127.24,65.25,12.33,108.16,137.48,65.83,22.92,105.70,59.16,80.79,112.83,102.66,80.88,98.68,135.36,5.22,117.73,24.59,41.44,57.17,146.20,123.07,109.46,153.78,140.09,26.02,11.30,22.65,106.36,76.88,47.12,111.02,48.15,141.46,164.62,17.07,85.92,47.51,83.60,31.06,29.72,113.01,59.89,7.19,51.11,136.23,5.24,68.49,86.98,69.01,55.51,82.55,88.06,59.48,27.52,63.73,25.58,58.06,90.30,68.30,114.54,78.86,41.43
Greatest average snow depth January 31,the deepest median daily snow depth on January 31.,42.03,39.58,22.63,19.75,19.30,29.59,26.10,48.12,26.83,26.00,3.55,25.45,30.26,22.97,3.65,19.43,34.80,42.59,10.83,0.03,40.53,57.84,3.83,57.53,32.33,0.00,11.13,5.67,8.95,12.13,0.30,34.08,16.69,16.68,0.93,14.11,55.28,27.89,22.63,2.17,32.97,42.97,19.39,3.69,27.73,17.53,22.26,22.70,30.27,22.88,33.70,47.44,1.13,38.57,4.77,8.59,11.71,56.59,37.37,28.18,40.43,48.12,9.32,2.63,5.27,19.80,19.90,10.30,31.05,9.78,28.04,29.03,4.67,22.67,10.72,17.43,9.11,7.57,36.19,13.13,1.31,10.63,42.17,0.38,21.13,17.23,15.23,13.62,18.13,20.70,11.30,8.13,22.19,6.17,16.43,26.77,15.04,37.21,24.05,11.83
Most freezing rain days,the greatest number of days annually with an occurrence of freezing rain or drizzle.,8.17,13.75,4.58,18.44,2.33,12.82,14.07,16.26,13.63,11.33,5.78,10.14,6.77,17.47,0.23,4.19,8.69,14.58,9.99,0.54,13.58,14.43,0.97,17.79,3.33,0.49,11.81,8.78,21.08,2.06,1.15,10.35,12.99,3.17,0.73,11.88,13.78,8.51,2.23,0.62,18.11,9.05,9.37,12.96,39.07,10.76,11.88,9.94,4.60,14.76,2.90,15.09,0.24,19.10,2.81,5.96,11.84,10.49,15.51,7.24,17.47,16.26,1.34,0.44,6.41,11.03,6.84,11.07,6.48,13.73,2.44,12.06,9.09,11.12,11.32,12.20,10.11,10.50,8.35,10.84,2.87,11.16,13.05,2.30,10.89,12.02,8.00,11.43,11.31,12.35,38.62,6.93,0.68,2.49,12.34,16.97,13.07,14.09,5.26,10.69
Most blowing snow days,the greatest number of days annually with an occurrence of blowing snow.,17.19,12.44,11.42,22.15,0.56,10.35,6.83,14.53,8.16,7.68,3.81,12.73,6.17,12.01,0.70,4.67,21.78,17.58,9.40,0.26,10.40,14.25,0.60,17.11,9.60,0.00,14.93,7.76,15.59,0.11,0.00,8.79,24.27,10.45,0.43,10.50,9.15,4.34,20.83,0.62,14.56,17.67,10.30,11.05,25.13,5.66,10.30,4.64,6.71,22.90,1.89,13.27,0.00,14.14,4.58,21.77,12.16,17.97,10.43,4.62,8.72,14.53,1.05,0.00,6.90,4.98,3.02,26.90,28.95,11.67,2.25,8.91,5.73,9.57,10.43,21.80,8.62,11.14,28.97,18.69,0.29,11.15,31.05,0.29,16.31,22.87,11.87,9.47,14.38,16.38,24.70,5.66,0.11,3.05,9.83,12.20,10.64,14.24,1.53,9.38
Most thunderstorm days,the greatest number of days annually with an occurrence of a thunderstorm.,16.41,22.22,24.14,9.68,20.21,25.68,14.53,22.16,23.53,19.36,25.63,27.03,23.18,12.80,3.85,25.48,21.29,4.49,29.20,3.12,25.60,20.04,15.31,19.16,25.50,2.33,30.93,27.95,10.03,14.55,6.10,21.94,21.56,25.39,4.21,26.66,14.10,21.41,28.79,3.62,21.97,11.56,30.13,11.36,5.80,22.90,25.71,23.90,15.11,12.49,23.05,13.98,4.01,24.20,16.16,23.70,30.50,7.43,24.39,18.33,16.78,22.16,13.79,2.33,27.35,22.89,18.83,25.01,12.53,11.91,6.56,5.40,33.24,23.83,26.64,26.54,29.11,27.71,11.72,23.97,7.35,29.32,19.37,7.11,13.33,29.62,15.61,30.27,25.79,25.34,4.54,28.07,9.93,17.78,11.00,23.87,24.40,20.10,20.83,29.33
Fewest thunderstorm days,the fewest number of days annually with an occurrence of a thunderstorm.,16.41,22.22,24.14,9.68,20.21,25.68,14.53,22.16,23.53,19.36,25.63,27.03,23.18,12.80,3.85,25.48,21.29,4.49,29.20,3.12,25.60,20.04,15.31,19.16,25.50,2.53,30.93,27.95,10.03,14.55,6.10,21.94,21.56,25.39,4.21,26.66,14.10,21.41,28.79,3.62,21.97,11.56,30.13,11.36,5.80,22.90,25.71,23.90,15.11,12.49,23.05,13.98,4.01,24.20,16.16,23.70,30.50,7.43,24.39,18.33,16.78,22.16,13.79,2.33,27.35,22.89,18.83,25.01,12.53,11.91,6.56,5.40,33.24,23.83,26.64,26.54,29.11,27.71,11.72,23.97,7.35,29.32,19.37,7.11,13.33,29.62,15.61,30.27,25.79,25.34,4.54,28.07,9.93,17.78,11.00,23.87,24.40,20.10,20.83,29.33
Foggiest city (days),the greatest number of days annually with an occurrence of fog (fog ice fog or freezing fog).,17.10,21.83,25.29,44.25,15.75,21.86,35.01,22.34,53.28,31.67,10.48,34.29,33.00,51.84,29.20,24.37,44.66,15.25,32.98,23.56,21.00,26.98,1.53,25.28,39.20,19.57,48.53,27.04,74.42,12.31,23.35,24.74,27.20,24.88,17.60,19.27,43.04,19.92,36.63,34.47,64.40,38.71,36.35,117.53,77.43,31.13,20.55,24.52,34.18,37.00,35.47,37.16,30.00,60.06,12.27,29.01,40.76,51.21,29.85,27.23,20.84,22.34,7.28,19.57,20.74,31.34,9.73,18.94,32.58,75.74,13.98,17.59,29.03,23.30,24.48,16.03,26.36,43.04,38.17,26.04,21.75,45.79,33.83,31.18,33.94,16.38,20.26,25.67,27.04,23.64,118.96,24.17,9.80,10.01,98.29,33.89,16.68,26.00,58.92,32.98
Fewest fog days,the fewest number of days annually with an occurrence of fog (fog ice fog or freezing fog).,17.10,21.83,25.29,44.25,15.75,21.86,35.01,22.34,53.28,31.67,10.48,34.29,33.00,51.84,29.20,24.37,44.66,15.25,32.98,23.56,21.00,26.98,1.53,25.28,39.20,19.57,48.53,27.04,74.42,12.31,23.35,24.74,27.20,24.88,17.60,19.27,43.04,19.92,36.63,34.47,64.40,38.71,36.35,99.53,77.43,31.13,20.55,24.52,34.18,37.00,35.47,37.16,30.00,60.06,12.27,29.01,40.76,51.21,29.85,27.23,20.84,22.34,7.28,19.57,20.74,31.34,9.73,18.94,32.58,75.74,13.98,17.59,29.03,23.30,24.48,16.03,26.36,43.04,38.17,26.04,21.75,45.79,33.83,31.18,33.94,16.38,20.26,25.67,27.04,23.64,118.96,24.17,9.80,10.01,98.29,33.89,16.68,26.00,58.92,32.98
Most smoke and haze days,the greatest number of days annually with an occurrence of smoke or haze.,13.51,39.34,57.26,15.59,2.43,50.98,20.20,14.36,43.05,30.97,64.11,59.02,14.02,18.35,2.96,3.33,38.12,5.54,79.92,17.90,50.10,27.78,4.25,19.48,43.80,22.30,112.95,82.87,14.06,4.19,47.95,27.25,3.71,54.69,4.81,51.15,9.68,10.63,50.39,2.26,35.61,11.83,92.59,16.41,9.72,48.65,51.39,4.28,3.39,26.44,3.17,28.70,4.70,32.42,1.37,1.03,94.96,6.63,10.31,3.16,7.44,14.36,10.99,22.32,14.23,6.95,17.29,1.93,13.00,15.10,1.69,8.68,122.67,39.32,52.13,11.20,71.04,99.61,12.63,2.24,17.19,106.28,19.89,17.24,17.64,5.88,4.02,59.20,4.42,4.84,10.73,72.22,4.19,5.34,14.40,63.61,50.90,27.98,21.14,76.97
Sunniest year-round,the greatest number of hours annually with sunshine.,1917.26,1966.76,1916.86,1858.58,2205.29,1958.54,1956.53,1896.81,1941.53,2013.06,2004.97,2055.10,2167.74,1970.55,1465.10,2156.16,1945.64,1470.83,1937.87,2086.41,1958.54,1904.83,1956.05,1766.74,2001.67,1903.44,1800.03,2037.56,1806.00,1954.35,1927.98,1849.78,2338.44,2056.46,1931.97,2024.57,2005.12,2096.17,1978.59,1229.05,1988.85,1970.24,1930.97,1964.60,1620.47,1891.11,1652.95,2164.58,2164.79,1919.28,2030.62,1993.35,1601.71,1957.48,2300.58,2406.93,1906.36,1928.58,1923.92,2203.07,2046.88,1790.19,2074.61,1903.44,2405.34,2216.48,2299.09,2376.13,1679.10,1687.10,1855.12,2264.79,2027.42,1931.96,1991.69,2371.81,1893.47,2087.51,1679.10,2434.75,1510.20,2012.69,1873.03,1865.86,1787.91,2271.88,2328.45,1991.69,2344.37,2330.17,1511.51,2061.90,2056.47,2512.85,1950.13,2061.09,2028.68,1931.69,1932.73,1919.70
Least sunshine year-round,the fewest number of hours annually with sunshine.,1917.26,1966.76,1916.86,1858.58,2205.29,1958.54,1956.53,1896.81,1941.53,2013.06,2004.97,2055.10,2167.74,1970.55,1465.10,2156.16,1945.64,1470.83,1937.87,2086.41,1958.54,1904.83,1956.05,1766.74,2001.67,1903.44,1800.03,2037.56,1806.00,1954.35,1927.98,1849.78,2338.44,2056.46,1931.97,2024.57,2005.12,2096.17,1978.59,1229.05,1988.85,1970.24,1930.97,1964.60,1620.47,1891.11,1652.95,2164.58,2164.79,1919.28,2030.62,1993.35,1601.71,1957.48,2300.58,2406.93,1906.36,1928.58,1923.92,2203.07,2046.88,1790.19,2074.61,1903.44,2405.34,2216.48,2299.09,2376.13,1679.10,1687.10,1855.12,2264.79,2027.42,1931.96,1991.69,2371.81,1893.47,2087.51,1679.10,2434.75,1510.20,2012.69,1873.03,1865.86,1787.91,2271.88,2328.45,1991.69,2344.37,2330.17,1511.51,2061.90,2056.47,2512.85,1950.13,2061.09,2028.68,1931.69,1932.73,1919.70
Sunniest winter,the greatest number of hours of sunshine in December January and February.,305.77,305.41,266.13,295.01,232.52,305.53,351.48,291.28,284.56,346.11,250.50,262.43,339.60,334.82,172.11,281.83,242.30,145.06,234.83,215.36,305.53,305.03,154.47,252.64,250.15,185.99,209.78,273.23,271.99,154.84,201.09,264.41,314.86,294.41,183.64,309.84,349.23,264.81,194.26,140.56,282.97,336.80,230.25,339.27,274.14,262.42,234.81,274.06,243.27,308.10,212.56,348.91,103.70,284.61,291.98,305.02,231.88,335.84,249.88,258.99,292.16,283.32,197.04,185.99,366.21,295.21,294.90,330.92,201.17,246.92,178.59,173.57,259.02,285.52,289.39,358.24,249.09,273.11,201.17,348.75,72.05,253.97,310.11,219.87,236.44,337.97,324.68,289.39,318.53,325.99,222.09,250.72,171.80,334.92,353.61,313.02,305.78,305.28,180.66,238.57
Sunniest summer,the greatest number of hours of sunshine in June July and August.,730.31,734.58,745.51,696.89,884.28,735.01,683.76,736.43,763.26,726.41,796.36,807.66,805.76,721.06,558.54,811.75,775.60,593.58,768.18,862.60,735.01,708.89,816.25,704.88,789.58,782.95,727.28,773.60,697.41,825.88,791.51,729.11,909.48,787.46,803.33,761.71,734.57,812.45,827.27,445.23,767.86,703.27,772.13,678.39,614.89,728.00,614.01,831.18,846.05,721.68,824.47,716.93,716.49,747.86,923.41,941.26,763.45,675.16,762.73,874.95,789.47,703.22,851.52,782.95,877.02,859.30,863.83,916.83,673.73,644.21,751.32,1033.98,794.47,728.77,765.76,880.84,744.92,831.04,673.73,921.10,689.44,799.61,701.66,753.95,675.83,860.47,891.14,765.76,875.63,886.22,588.35,816.98,865.17,968.72,655.78,776.77,760.27,721.95,809.63,774.30
Sunniest spring,the greatest number of hours of sunshine in March April and May.,546.77,547.93,534.98,490.55,634.94,548.07,508.61,577.40,555.64,565.70,555.13,582.32,643.07,502.19,434.10,627.01,592.38,440.76,550.12,577.17,548.07,533.96,576.86,547.11,582.88,534.11,502.23,570.71,467.18,575.53,547.24,504.51,650.63,563.79,543.20,566.49,533.45,671.15,589.92,412.60,588.01,554.64,534.37,494.45,410.43,537.36,476.57,656.45,682.44,497.90,609.01,511.84,461.10,587.00,611.08,672.08,532.66,541.24,595.97,680.29,666.58,523.98,608.86,534.11,650.03,663.32,687.97,657.68,480.34,446.83,657.78,797.96,546.74,574.99,539.39,703.62,526.76,576.06,480.34,667.21,443.15,563.09,549.68,504.68,480.42,641.36,670.97,539.39,683.90,673.32,383.93,566.50,606.96,691.89,510.24,579.50,561.90,541.02,604.81,547.73
Sunniest fall,the greatest number of hours of sunshine in September October and November.,334.41,378.84,370.24,376.13,453.55,369.93,412.68,291.70,338.07,374.84,402.98,402.69,379.31,412.48,300.35,435.57,335.36,291.43,384.74,431.28,369.93,356.95,408.47,262.11,379.06,400.39,360.74,420.02,369.42,398.10,388.14,351.75,463.47,410.80,401.80,386.53,387.87,347.76,367.14,230.66,350.01,375.53,394.22,452.49,321.01,363.33,327.56,402.89,393.03,391.60,384.58,415.67,320.42,338.01,474.11,488.57,378.38,376.34,315.34,388.84,298.67,279.68,417.19,400.39,512.08,398.65,452.39,470.70,323.86,349.14,267.43,259.28,427.19,342.68,397.15,429.11,372.70,407.30,323.86,497.69,305.56,396.02,311.58,387.36,395.22,432.08,441.66,397.15,466.31,444.64,317.14,427.70,412.54,517.32,430.50,391.80,400.73,363.44,337.63,359.10
Most sunny days year-round,the greatest number of days annually with an occurrence of sunshine.,299.33,297.17,277.49,288.15,317.03,299.58,293.19,292.18,296.22,298.03,299.93,303.24,305.18,293.38,284.03,320.25,290.36,274.05,299.04,306.27,299.58,290.86,307.35,283.32,296.82,294.39,287.77,302.85,286.94,305.51,288.48,296.64,321.35,305.80,284.73,291.52,292.45,307.62,294.02,250.25,293.59,295.93,288.81,290.17,274.42,300.53,277.04,310.93,309.08,292.07,312.26,293.61,271.73,290.11,321.90,322.55,294.16,287.87,291.77,313.89,293.91,285.99,316.20,294.39,332.93,312.19,321.11,324.85,274.82,284.99,301.54,275.26,307.47,297.58,298.94,317.78,287.87,302.04,274.82,323.86,267.01,300.54,293.81,285.57,287.43,322.64,320.34,298.94,313.83,313.04,270.38,289.85,304.24,329.88,284.89,303.38,303.48,295.22,300.16,294.58
Fewest sunny days year-round,the fewest number of days annually with an occurrence of sunshine.,299.33,297.17,277.49,288.15,317.03,299.58,293.19,292.18,296.22,298.03,299.93,303.24,305.18,293.38,284.03,320.25,290.36,274.05,299.04,306.27,299.58,290.86,307.35,283.32,296.82,294.39,287.77,302.85,286.94,305.51,288.48,296.64,321.35,305.80,284.73,291.52,292.45,307.62,294.02,250.25,293.59,295.93,288.81,290.17,274.42,300.53,277.04,310.93,309.08,292.07,312.26,293.61,271.73,290.11,321.90,322.55,294.16,287.87,291.77,313.89,293.91,285.99,316.20,294.39,332.93,312.19,321.11,324.85,274.82,284.99,301.54,275.26,307.47,297.58,298.94,317.78,287.87,302.04,274.82,323.86,267.01,300.54,293.81,285.57,287.43,322.64,320.34,298.94,313.83,313.04,270.38,289.85,304.24,329.88,284.89,303.38,303.48,295.22,300.16,294.58
Most sunny days in cold months,the greatest number of days from November through March inclusive with an occurrence of sunshine.,109.58,107.12,96.19,105.65,111.05,108.46,110.56,103.43,104.78,110.93,104.55,108.06,111.90,107.95,98.21,121.38,101.00,96.79,103.22,106.09,108.46,104.96,102.03,100.98,102.42,98.41,95.83,106.03,105.30,101.31,95.80,106.22,119.91,109.53,92.10,104.39,109.71,112.58,98.76,84.23,102.48,110.04,97.12,111.59,101.94,108.94,97.62,113.24,111.90,107.30,108.61,110.53,77.53,100.54,121.42,120.36,100.19,110.19,100.84,115.88,107.40,100.40,110.12,98.41,131.50,114.96,120.91,124.27,95.11,102.78,101.72,86.30,106.21,107.32,106.96,118.66,98.93,105.86,95.11,122.71,76.39,104.54,108.40,95.82,104.48,118.61,120.58,106.96,114.23,116.39,98.27,98.40,101.37,126.59,108.81,109.24,109.27,106.71,100.24,100.75
Most sunny days in warm months,the greatest number of days from May through September inclusive with an occurrence of sunshine.,141.36,140.14,135.27,135.40,148.40,140.76,133.82,141.25,141.35,138.30,143.51,142.56,141.24,137.37,136.82,143.88,139.62,130.13,143.37,146.82,140.76,137.52,148.54,136.37,142.57,144.46,141.63,143.28,134.46,148.63,142.54,141.01,146.22,143.82,144.31,138.04,135.44,143.15,143.35,121.90,141.07,137.37,141.16,130.61,128.12,140.98,132.35,144.27,142.52,137.29,148.49,135.33,143.50,139.45,145.34,146.53,142.63,132.18,141.11,142.94,138.63,137.27,148.93,144.46,144.81,144.19,144.20,145.48,135.31,134.97,146.24,143.56,147.31,140.75,141.10,145.66,138.86,143.89,135.31,146.11,140.96,143.63,137.95,139.28,135.41,149.03,145.41,141.10,145.53,143.61,128.19,140.69,147.55,146.80,128.88,142.82,142.75,139.14,146.58,142.89
Most heating degree-days,the greatest number of heating degree-days annually (accumulated average daily temperature below 18°C).,5821.26,4929.06,4233.54,4715.29,4575.83,4654.13,4750.72,6212.64,5177.77,5358.23,3659.37,4379.00,5717.57,4805.59,3461.80,5695.83,5056.58,4765.62,4352.13,3040.75,4733.94,5201.91,3431.39,6148.80,4301.11,3178.77,4057.60,4065.67,4617.74,3868.86,2926.49,5151.10,5660.73,4217.08,3083.25,4482.50,5468.95,6346.05,4148.33,3966.65,5343.48,6014.10,4210.04,4192.92,5197.56,4537.09,4570.75,5970.32,5847.19,4631.28,5073.08,5056.16,3173.04,5295.19,4600.32,5251.01,4047.37,6276.92,5749.19,5888.24,7743.15,6303.70,3570.84,3056.00,5108.43,6277.42,5189.09,5276.16,5449.32,4518.02,6811.34,8256.00,3524.83,4620.69,4289.17,5777.50,3917.71,4012.20,5216.91,5360.89,2832.88,3923.56,5792.50,2981.30,4165.63,5624.06,5852.38,4023.74,5950.72,6065.96,4881.45,3882.29,3990.86,4631.92,4754.52,4602.36,4574.95,5045.95,5131.96,4288.26
Most cooling degree-days,the greatest number of cooling degree-days annually (accumulated average daily temperature above 18°C).,115.73,177.76,300.72,100.10,114.04,251.49,142.89,86.68,140.08,97.61,330.66,192.95,70.03,103.17,53.37,25.05,87.93,63.37,180.50,24.03,222.62,133.26,212.96,89.57,223.89,41.82,235.66,251.98,84.37,133.91,44.22,100.65,145.71,230.59,56.05,242.05,80.19,54.36,190.40,0.25,138.21,11.18,197.73,72.76,43.29,151.17,265.49,53.71,26.98,112.19,32.69,141.00,62.33,119.27,107.60,129.63,241.85,9.35,169.94,26.65,41.82,80.00,261.41,77.01,40.26,70.52,76.46,177.32,82.19,91.98,7.68,41.36,421.73,243.40,184.00,185.71,195.57,249.61,94.04,175.75,106.04,283.60,102.06,68.28,148.27,196.29,116.93,292.87,118.57,94.63,32.08,275.35,149.10,186.61,36.89,244.62,235.48,152.42,22.43,187.80
Most growing degree-days,the greatest number of growing degree-days annually (accumulated average daily temperature above 5°C).,1546.44,1877.34,2267.83,1657.02,1663.20,2080.52,1779.14,1387.81,1753.45,1577.17,2392.90,2009.54,1433.57,1667.95,1734.97,1306.08,1587.25,1448.78,1964.31,1919.74,2015.86,1712.76,2197.78,1409.86,2102.17,1893.29,2157.08,2153.56,1540.98,1913.61,2084.77,1637.00,1722.81,2158.55,1960.34,2103.60,1441.47,1376.43,2009.44,1226.32,1705.07,1099.72,2048.83,1716.29,1237.82,1889.49,2131.39,1440.76,1311.88,1722.27,1292.17,1677.69,1953.66,1681.62,1772.19,1697.46,2171.41,1011.28,1759.32,1337.87,1058.88,1384.10,2308.61,2032.00,1430.66,1467.42,1618.74,1845.42,1451.28,1684.43,894.88,1077.00,2602.66,2066.82,2013.63,1806.32,2094.48,2176.55,1540.66,1828.46,2275.42,2266.02,1510.53,2104.91,1911.38,1848.39,1643.61,2276.26,1633.61,1553.32,1221.83,2239.91,1935.03,1962.84,1527.11,2089.63,2073.63,1815.32,1283.82,2001.13
Highest average pressure,the highest hourly average sea level pressure (kPa) annually.,101.45,101.52,,101.35,101.71,,101.45,101.55,101.59,,101.67,101.60,101.60,101.37,,101.63,101.59,101.22,101.64,101.67,,101.50,101.68,101.57,,,101.66,101.63,101.33,101.61,101.68,101.54,101.63,,101.60,101.54,101.33,101.52,101.59,101.33,101.58,101.34,,101.43,101.18,101.61,,101.57,101.51,101.34,101.62,101.35,,101.58,101.58,101.59,,101.30,101.54,101.54,101.59,,101.64,101.63,101.59,101.58,101.50,101.59,,,101.29,101.55,101.65,101.54,101.57,101.59,101.62,101.71,,101.63,101.67,101.69,101.46,101.69,101.43,101.59,101.61,101.60,101.66,101.64,101.28,101.66,,101.55,101.44,101.56,101.54,,101.60,101.65
Lowest average pressure,the lowest hourly average sea level pressure (kPa) annually.,101.45,101.52,,101.35,101.71,,101.45,101.55,101.59,,101.67,101.60,101.60,101.37,,101.63,101.59,101.22,101.64,101.67,,101.50,101.68,101.57,,,101.66,101.63,101.33,101.61,101.68,101.54,101.63,,101.60,101.54,101.33,101.52,101.59,101.33,101.58,101.34,,101.43,101.18,101.61,,101.57,101.51,101.34,101.62,101.35,,101.58,101.58,101.59,,101.30,101.54,101.54,101.59,,101.64,101.63,101.59,101.58,101.50,101.59,,,101.29,101.55,101.65,101.54,101.57,101.59,101.62,101.71,,101.63,101.67,101.69,101.46,101.69,101.43,101.59,101.61,101.60,101.66,101.64,101.28,101.66,,101.55,101.44,101.56,101.54,,101.60,101.65
Greatest average pressure difference,the greatest difference between highest and lowest monthly average sea level pressure (kPa).,0.45,0.44,,0.36,0.80,,0.40,0.42,0.47,,0.59,0.37,0.56,0.37,,0.56,0.39,0.53,0.39,0.22,,0.44,0.76,0.46,,,0.39,0.39,0.40,0.73,0.22,0.44,0.78,,0.24,0.45,0.39,0.81,0.33,0.89,0.37,0.42,,0.40,0.60,0.50,,0.74,0.52,0.42,0.40,0.40,,0.34,0.62,0.65,,0.40,0.65,0.58,0.78,,0.74,0.33,0.46,0.83,0.65,0.77,,,0.64,0.80,0.40,0.44,0.40,0.83,0.41,0.84,,0.77,0.21,0.60,0.44,0.23,0.41,0.86,0.81,0.42,0.80,0.77,0.59,0.39,,0.70,0.41,0.44,0.45,,0.41,0.39
Most hours with low visibility,the greatest number of hours per year where the visibility is less than 1 km.,122.40,105.42,,223.31,60.44,,126.57,92.80,208.98,,240.93,129.74,127.30,201.83,,82.61,198.69,84.66,154.53,83.94,,117.74,8.09,111.36,,,200.17,101.71,371.40,45.53,117.11,128.03,125.32,,104.38,93.09,234.07,54.95,220.37,156.22,304.96,185.77,,619.47,387.72,189.00,,82.15,130.33,188.85,133.63,165.27,,232.22,66.58,145.68,,263.06,140.02,111.63,79.02,,34.10,176.65,82.24,99.79,35.71,100.05,,,62.47,64.85,120.37,110.56,134.02,63.08,103.82,240.93,,109.16,126.06,210.93,159.68,126.06,140.60,86.25,76.42,105.92,117.36,95.83,763.98,160.27,,40.21,590.34,138.73,62.47,,230.39,180.94
Clearest skies year-round,the greatest number of hours annually with total cloud amount between 0 and 2 tenths.,2168.96,2158.54,,1989.98,2258.17,,2179.17,2059.43,2128.25,,2073.37,2176.41,2298.20,2106.83,,2112.52,2029.97,1161.78,2105.73,2083.57,,2071.82,2013.66,2187.38,,,1958.84,2179.18,1608.08,1991.65,1967.84,1892.94,2493.07,,2080.91,2245.25,2128.07,2265.75,2096.96,1136.56,2223.77,2298.32,,1911.03,1302.64,2304.55,,2208.31,2139.54,2122.22,1899.86,2333.75,,2136.68,2393.09,2617.80,,2266.72,2419.00,1890.17,2447.36,,2093.16,2405.63,2183.64,2539.82,2018.30,2524.86,,,1631.00,2347.60,2276.73,2069.10,2457.65,2726.93,2262.76,1967.56,,2880.53,1869.27,2018.29,1719.59,1869.27,1685.90,2639.17,2477.52,2346.34,2593.52,2666.93,1187.48,2117.79,,2287.05,2221.78,2240.88,2260.91,,1606.30,2069.01
Cloudiest skies year-round,the greatest number of hours annually with total cloud amount between 8 and 10 tenths.,4750.52,4909.81,,5046.32,4129.72,,4554.34,5164.53,4767.28,,4868.28,4832.80,4670.88,4701.85,,4450.41,5032.85,5452.23,4858.50,4850.72,,5002.00,4663.91,4967.87,,,4896.15,4839.67,5151.60,4876.75,5214.02,5026.24,4157.10,,4955.47,4817.61,4538.81,4579.51,5040.06,6145.69,4752.70,4907.10,,5116.28,5699.01,4674.18,,4392.57,4401.54,5029.12,4670.53,4728.00,,4891.82,4051.56,3840.58,,4705.15,4455.24,4613.26,4617.64,,4531.42,4727.29,4285.37,4169.21,4525.82,4114.30,,,4982.47,4468.52,4744.12,4921.93,4501.03,4304.28,4729.35,4896.89,,4092.44,5329.11,4882.40,5264.39,5329.11,5325.04,4156.92,4115.32,4619.02,4048.11,4041.49,5947.04,4820.14,,4010.17,4836.29,4748.35,4854.89,,5309.87,4867.91
